CustomerID,Recency,Frequency,Monetary,Cluster
12346,325,1,77183.6,5
12347,1,182,4310,0
12348,74,31,1797.24,0
12349,18,73,1757.55,0
12350,309,17,334.4,5
12352,35,85,2506.04,0
12353,203,4,89,5
12354,231,58,1079.4,5
12355,213,13,459.4,5
12356,22,59,2811.43,0
12357,32,131,6207.67,0
12358,1,19,1168.06,0
12359,57,248,6372.58,0
12360,51,129,2662.06,0
12361,286,10,189.9,5
12362,2,266,5226.23,0
12363,109,23,552,0
12364,7,85,1313.1,0
12365,290,22,641.38,5
12367,3,11,168.9,0
12370,50,167,3545.69,0
12371,44,63,1887.96,0
12372,71,52,1298.04,0
12373,310,14,364.6,5
12374,24,33,742.93,0
12375,10,17,457.5,0
12377,314,77,1628.12,5
12378,129,219,4008.62,0
12379,81,40,852.24,0
12380,21,104,2724.81,0
12381,4,87,1845.31,0
12383,184,99,1850.56,5
12384,28,27,585.27,0
12386,337,10,401.9,5
12388,15,100,2780.66,0
12390,79,32,549.84,0
12391,21,100,460.89,0
12393,71,64,1582.6,0
12394,63,27,1272.48,0
12395,18,156,3018.63,0
12397,35,126,2409.9,0
12398,45,85,1635.66,0
12399,118,59,1108.65,0
12401,302,5,84.3,5
12402,322,11,225.6,5
12403,49,5,427.7,0
12405,148,54,1710.39,5
12406,21,105,3415.3,0
12407,49,77,1708.12,0
12408,32,105,2888.55,0
12409,78,109,11072.67,0
12410,308,26,693.33,5
12412,74,61,1226.88,0
12413,66,38,758.1,0
12414,216,18,562.41,5
12415,23,714,124914.53,4
12417,2,192,3649.1,0
12418,112,34,668.58,0
12420,63,29,600.39,0
12421,15,45,807.04,0
12422,95,39,803.56,0
12423,0,125,1859.31,0
12424,162,30,1760.96,5
12425,77,36,777.2,0
12426,194,30,582.73,5
12427,21,31,825.8,0
12428,25,294,7956.46,0
12429,8,97,3750.4,0
12430,42,11,256.4,0
12431,35,235,6487.45,0
12432,42,108,5059.32,0
12433,0,420,13375.87,0
12434,84,50,806.14,0
12435,79,36,7829.89,0
12436,99,16,509.01,0
12437,1,199,4951.41,0
12438,13,98,2906.85,0
12441,366,11,173.55,5
12442,2,12,172.06,0
12444,20,176,5005.46,0
12445,21,4,133.4,0
12446,57,57,1002.31,0
12447,242,26,476.49,5
12448,43,22,449.45,0
12449,21,191,4067.29,0
